dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,rank_biserial_r,rank_biserial_label,hodges_lehmann,hl_ci_low,hl_ci_high,cohens_d_z,cohens_dz_raw,cohens_dz_status,diff_mean,diff_sd,winner,p_holm_per_baseline_family1
production,overall,J48,False,4412,0.0,0.0,1.0,large,0.2700164539605271,0.2657758463352208,0.2745403695901375,1.96913735162132,1.96913735162132,regular,0.2685148897798668,0.1363616862778927,KR,0.0
production,overall,REPTree,False,4412,0.0,0.0,1.0,large,0.2369811827956989,0.233325,0.2412721099840029,1.9122734034765143,1.9122734034765143,regular,0.232502222725341,0.1215841951797539,KR,0.0
production,prune,CART,False,750,1.0522616536328726e-120,3.1567849608986176e-120,1.0,large,0.2982230540128467,0.2882069740469356,0.3077741235191326,1.6907208273532526,1.6907208273532526,regular,0.3243497932707195,0.1918411295485574,KR,1.0522616536328726e-120
production,prune,J48,False,750,4.484491646502056e-105,8.968983293004112e-105,1.0,large,0.1890566605575011,0.1740508411966937,0.1983514121643777,1.1477901872629432,1.1477901872629432,regular,0.2018964124556124,0.1759001032558581,KR,4.484491646502056e-105
production,prune,REPTree,False,750,1.3242857343766456e-96,1.3242857343766456e-96,1.0,large,0.147801835158876,0.1333994623655914,0.1565270161290322,0.9681864321695576,0.9681864321695576,regular,0.1568597299381393,0.1620139724398333,KR,1.3242857343766456e-96
production,change_label,CART,False,780,1.4159083615745483e-119,4.247725084723645e-119,1.0,large,0.3157645971339576,0.305400764717631,0.3231768710598377,1.8078180543124476,1.8078180543124476,regular,0.3222401232432539,0.178248094422206,KR,1.4159083615745483e-119
production,change_label,J48,False,780,1.1080211931858504e-114,2.2160423863717007e-114,1.0,large,0.2348526809772522,0.2249059449225614,0.2463771257791143,1.620302733198326,1.620302733198326,regular,0.2346023612168734,0.1447892152559604,KR,1.1080211931858504e-114
production,change_label,REPTree,False,780,8.676928944147542e-110,8.676928944147542e-110,1.0,large,0.204470564516129,0.1966790322580645,0.2146796774193548,1.6203501477050173,1.6203501477050173,regular,0.2020461408112185,0.1246928888162762,KR,8.676928944147542e-110
production,branch_swap,CART,False,570,4.299504793696696e-95,1.289851438109009e-94,1.0,large,0.3666501153966802,0.3593997783121868,0.3716492035382074,2.564875464131632,2.564875464131632,regular,0.3942419258995634,0.1537080187372912,KR,4.299504793696696e-95
production,branch_swap,J48,False,570,4.663749075140691e-93,9.200087308060392e-93,1.0,large,0.2963397352241096,0.2872395161290322,0.3040218723229789,2.84742669573469,2.84742669573469,regular,0.2984492927332688,0.1048136878046173,KR,4.663749075140691e-93
production,branch_swap,REPTree,False,570,4.600043654030196e-93,9.200087308060392e-93,1.0,large,0.2765039438362661,0.2705645161290322,0.2809701833066715,3.194497427573373,3.194497427573373,regular,0.2650441947237813,0.0829689804837677,KR,4.600043654030196e-93
production,change_threshold,CART,False,210,2.4972127751428137e-36,7.49163832542844e-36,1.0,large,0.3668975641445809,0.362536474879798,0.3769423450193531,6.9331285334109385,6.9331285334109385,regular,0.3684162098393071,0.0531385229718299,KR,2.4972127751428137e-36
production,change_threshold,J48,False,210,2.4972127751428137e-36,7.49163832542844e-36,1.0,large,0.3435019832252314,0.3399755409759439,0.3513926578158145,4.538535616667557,4.538535616667557,regular,0.3578046510077295,0.0788370261310077,KR,2.4972127751428137e-36
