dataset,algorithm,decision_point,operator,n_trials,dominance_pct
production,REPTree,p_67,change_feature,30,0.0
production,REPTree,p_67,change_label,30,0.0
production,REPTree,p_67,prune,30,0.0
production,REPTree,p_67,regrow_internal,30,0.0
production,REPTree,p_67,regrow_leaf,30,0.0
production,REPTree,p_68,branch_swap,30,0.0
production,REPTree,p_68,change_feature,30,0.0
production,REPTree,p_68,change_label,30,0.0
production,REPTree,p_68,prune,30,0.0
production,REPTree,p_68,regrow_internal,30,0.0
production,REPTree,p_68,regrow_leaf,30,0.0
production,REPTree,p_73,branch_swap,30,0.0
production,REPTree,p_73,change_feature,30,0.0
production,REPTree,p_73,change_label,30,0.0
production,REPTree,p_73,prune,30,0.0
production,REPTree,p_73,regrow_internal,30,0.0
production,REPTree,p_73,regrow_leaf,30,0.0
production,REPTree,p_75,branch_swap,30,0.0
production,REPTree,p_75,change_feature,30,0.0
production,REPTree,p_75,change_label,30,0.0
production,REPTree,p_75,prune,30,0.0
production,REPTree,p_75,regrow_internal,30,0.0
production,REPTree,p_75,regrow_leaf,30,0.0
production,REPTree,p_76,branch_swap,30,0.0
production,REPTree,p_76,change_feature,30,0.0
production,REPTree,p_76,change_label,30,0.0
production,REPTree,p_76,change_threshold,30,0.0
production,REPTree,p_76,regrow_internal,30,0.0
production,REPTree,p_76,regrow_leaf,30,0.0
production,REPTree,p_78,branch_swap,30,0.0
production,REPTree,p_78,change_feature,30,6.666666666666667
production,REPTree,p_78,change_label,30,0.0
production,REPTree,p_78,change_threshold,30,0.0
production,REPTree,p_78,prune,60,0.0
production,REPTree,p_78,regrow_internal,60,0.0
production,REPTree,p_78,regrow_leaf,30,0.0
production,REPTree,p_81,branch_swap,30,0.0
production,REPTree,p_81,change_feature,30,0.0
production,REPTree,p_81,change_label,30,0.0
production,REPTree,p_81,prune,30,0.0
production,REPTree,p_81,regrow_internal,30,0.0
production,REPTree,p_81,regrow_leaf,30,0.0
production,REPTree,p_95,branch_swap,30,0.0
production,REPTree,p_95,change_feature,30,0.0
production,REPTree,p_95,change_label,30,0.0
production,REPTree,p_95,change_threshold,30,0.0
production,REPTree,p_95,prune,30,0.0
production,REPTree,p_95,regrow_internal,30,0.0
production,REPTree,p_95,regrow_leaf,30,0.0
