dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,hodges_lehmann,hl_ci_low,hl_ci_high,winner,p_holm_per_baseline_family1
production,regrow_leaf,REPTree,False,780,1.1338429788931828e-128,2.347240465077061e-128,0.229175,0.2217586879561077,0.2365067817524278,RulesRepair,1.1338429788931828e-128
production,regrow_internal,CART,False,780,3.692790989474501e-129,1.1078372968423502e-128,0.3601709892192645,0.3525020308127652,0.3679485106386643,RulesRepair,3.692790989474501e-129
production,regrow_internal,J48,False,780,1.6447167014674027e-128,3.2894334029348053e-128,0.3008149885418547,0.2927209401577075,0.3083333333333333,RulesRepair,1.6447167014674027e-128
production,regrow_internal,REPTree,False,780,6.801109767536517e-127,6.801109767536517e-127,0.2574036443220992,0.25,0.2639,RulesRepair,6.801109767536517e-127
road_traffic,overall,CART,False,930,8.52613500596661e-144,1.705227001193322e-143,0.186631400532718,0.1792728493579576,0.1944494472556585,RulesRepair,8.52613500596661e-144
road_traffic,overall,J48,False,930,4.098782602395666e-143,4.098782602395666e-143,0.3046196147888643,0.2950919379210937,0.3128520404121239,RulesRepair,4.098782602395666e-143
road_traffic,overall,REPTree,False,930,7.363735899793094e-154,2.2091207699379282e-153,0.2304008750774569,0.2258078378985394,0.2364136313593084,RulesRepair,7.363735899793094e-154
road_traffic,prune,CART,False,120,1.1023991146212048e-21,3.307197343863614e-21,0.1290323669330257,0.1127600430058959,0.1451612903225806,RulesRepair,1.1023991146212048e-21
road_traffic,prune,J48,False,120,8.460308708019608e-17,8.460308708019608e-17,0.2877162347970148,0.2121295810929976,0.3197679721233264,RulesRepair,8.460308708019608e-17
road_traffic,prune,REPTree,False,120,1.1023991146212048e-21,3.307197343863614e-21,0.161500536340292,0.158475675444146,0.1747395814035175,RulesRepair,1.1023991146212048e-21
road_traffic,change_label,CART,False,180,1.1023991146212048e-21,1.1023991146212048e-21,0.1142565296904561,0.1051189757519316,0.1290322580645161,RulesRepair,1.1023991146212048e-21
road_traffic,change_label,J48,False,180,1.4172346392835626e-26,2.834469278567125e-26,0.2078167108745303,0.2008101952735466,0.2176201229017809,RulesRepair,1.4172346392835626e-26
road_traffic,change_label,REPTree,False,180,1.808003109540384e-31,5.424009328621152e-31,0.1935483870967742,0.175526754069787,0.2101274318745089,RulesRepair,1.808003109540384e-31
road_traffic,branch_swap,CART,False,120,1.1043929389437244e-21,3.313178816831173e-21,0.1849100737287279,0.1372673466628164,0.209740408012759,RulesRepair,1.1043929389437244e-21
road_traffic,branch_swap,J48,False,120,1.1043929389437244e-21,3.313178816831173e-21,0.3256106932653851,0.3248992791337612,0.3452695638875126,RulesRepair,1.1043929389437244e-21
road_traffic,branch_swap,REPTree,False,120,1.1043929389437244e-21,3.313178816831173e-21,0.2250883812837707,0.2243689246690019,0.2258078378985394,RulesRepair,1.1043929389437244e-21
road_traffic,change_threshold,CART,False,90,8.170275894867172e-17,1.9919038089022023e-16,0.2341879488469809,0.1853696774193548,0.2460307305934042,RulesRepair,8.170275894867172e-17
road_traffic,change_threshold,J48,False,90,6.639679363007341e-17,1.9919038089022023e-16,0.291684303644978,0.291684303644978,0.2994433063346847,RulesRepair,6.639679363007341e-17
